ID,FullName,unit,category,transformation
Year,Year,,NA,FALSE
NAO,NAO index,unitless,Climate,FALSE
SPGIndexWinter,Sub-polar gyre index,unitless,Climate,FALSE
NLGyre,Norw-Lof gyre index,unitless,Climate,FALSE
SvinCoreT,Svinoy-core temperature,degree C,Climate,FALSE
SviCoreS,Svinoy-core salinity,unitless,Climate,FALSE
ArcticWater,Arctic water,unitless,Climate,FALSE
RHeatContent,Relative heat content,10^8.Jm^-2,Climate,FALSE
RFreshWaterContent,Relative Fresh Water content,m,Climate,FALSE
TempLanganes,Temperature Langanes,degree C,Climate,FALSE
SalLanganes,Salinity Langanes,unitless,Climate,FALSE
ZooB,Zoo. biomass,dry weight mg.m^-2,Ecological component,TRUE
ZooB.LBE,Zoo. biomass (Lof. Basin east),dry weight mg.m^-2,Ecological component,TRUE
ZooB.LBW,Zoo. biomass (Lof. Basin west),dry weight mg.m^-2,Ecological component,TRUE
ZooB.NBE,Zoo. biomass (Norw. Basin east),dry weight mg.m^-2,Ecological component,TRUE
ZooB.NBW,Zoo. biomass (Norw. Basin west),dry weight mg.m^-2,Ecological component,TRUE
HerringR.age2,Herring recruitment,million indiv,Ecological component,TRUE
BluewhitingR.age1,Blue whiting recruitment,million indiv,Ecological component,TRUE
MackerelR.age2,Mackerel recruitment Age2,million indiv,Ecological component,TRUE
HerringB,Herring biomass,tonnes,Ecological component,TRUE
BluewhitingB,Blue whiting biomass,tonnes,Ecological component,TRUE
MackerelB,Mackerel biomass,tonnes,Ecological component,TRUE
HerringC,Herring catches,tonnes,Pressure,TRUE
MackerelC,Mackerel catches,tonnes,Pressure,TRUE
BluewhitingC,Blue whiting catches,tonnes,Pressure,TRUE
HerringF,Herring fishing mortality,y^-1,Pressure,TRUE
MackerelF,Mackerel fishing mortality,y^-1,Pressure,TRUE
BluewhitingF,Blue whiting fishing mortality,y^-1,Pressure,TRUE
HerringW6,Herring weight at age 6,kg,Ecological component,FALSE
BluewhitingW4,Bluewhiting weight at age 4,kg,Ecological component,FALSE
MackerelW3,Mackerel weight at age 3,kg,Ecological component,FALSE
SalmonNNEAC,Salmon abundance(northern NEAC),count,Ecological component,TRUE
BredfishB,Beaked redfish biomass,thousand tonnes,Ecological component,TRUE
SaitheB,Saithe biomass,million tonnes,Ecological component,TRUE
GhalibutB,Greenlan halibut biomass,million tonnes,Ecological component,TRUE
PuffinStock,Puffin pop. size,pair count,Ecological component,TRUE
KittywakeStock,Kittywake pop. size,pair count,Ecological component,TRUE
GuillemotStock,Common guillemot pop. size,pair count,Ecological component,TRUE
NPP,NPPtotalC,gC.m-2.yr-1,Ecological component,FALSE
NPPpeak,NPPpeak,day of year,Ecological component,FALSE
MinkeCatch,Minke whale Catches,count,Pressure,TRUE
Oil,Oil production,Sm^3,Sector - Activity - Economy,FALSE
Gas,Gas production,Sm^3,Sector - Activity - Economy,FALSE
FirstHandPrice_Herring,Herring first-hand price,NOK,Sector - Activity - Economy,FALSE
FirstHandPrice_Atlmackerel,Mackerel  first-hand price,NOK,Sector - Activity - Economy,FALSE
FirstHandPrice_BlueWhiting,Blue whiting first-hand price,NOK,Sector - Activity - Economy,FALSE
FirstHandPrice_AtlanticCod,Atlantic cod first-hand price,NOK,Sector - Activity - Economy,FALSE
FirstHandPrice_Haddock,Haddock first-hand price,NOK,Sector - Activity - Economy,FALSE
FirstHandPrice_Saithe,Saithe first-hand price,NOK,Sector - Activity - Economy,FALSE
FirstHandPrice_AtlReadfish,Beaked readfish first-hand price,NOK,Sector - Activity - Economy,FALSE
CatchValue_Herring,Herring catch value,1000 NOK,Sector - Activity - Economy,FALSE
CatchValue_Atlmackerel,Mackerel  catch value,1000 NOK,Sector - Activity - Economy,FALSE
CatchValue_Bluewhiting,Blue whiting catch value,1000 NOK,Sector - Activity - Economy,FALSE
CatchValue_Atlanticcod,Atlantic cod catch value,1000 NOK,Sector - Activity - Economy,FALSE
CatchValue_Haddock,Haddock catch value,1000 NOK,Sector - Activity - Economy,FALSE
CatchValue_Saithe,Saithe catch value,1000 NOK,Sector - Activity - Economy,FALSE
CatchValue_AtlReadfish,Beaked readfish catch value,1000 NOK,Sector - Activity - Economy,FALSE
ShippingCO2,Shipping,tonnes CO_2,Sector - Activity - Economy,FALSE
LicenseSalmonTrout,Aquaculture license (salmon & trout),count,Sector - Activity - Economy,TRUE
LicenseOtherFish,Aquaculture license (other fish),count,Sector - Activity - Economy,TRUE
LicenseMollCrustEchino,Aquaculture license (moll. crust. echino.),count,Sector - Activity - Economy,TRUE
LicenseAlgae,Aquaculture license (algae),count,Sector - Activity - Economy,TRUE
LicenseSeaRanching,Aquaculture license (sea ranching),count,Sector - Activity - Economy,TRUE
NbFishingBoats,Number of fishing boats,count,Sector - Activity - Economy,TRUE
PowerFishingBoats,Engine power,count,Sector - Activity - Economy,FALSE
NbFishermen,Number of fishermen,horse power,Sector - Activity - Economy,TRUE
Ryther,Total Catch all species combined in ICES Iia,tonnes/km2,Pressure,FALSE
