ID,FullName,unit,category,transformation
Year,Year,unitless,NaN,FALSE
NAO2,NAO,unitless,climate,FALSE
SPGIntexWinter,Sub-polar gyre index,unitless,climate,FALSE
NLGyre,Norw-Lof gyre index,unitless,climate,FALSE
SvinCoreT,Svin¯y-core temperature,degree C,climate,FALSE
SviCoreS,Svin¯y-core salinity,ppt,climate,FALSE
ArcticWater,Arctic water,NA,climate,FALSE
RHeatContent,Relative heat content,10^8.Jm^-2,climate,FALSE
RFreshWaterContent,Relative Fresh Water content,m,climate,FALSE
TempLanganes,Temperature Langanes,degree C,climate,FALSE
SalLanganes,Salinity Langanes,ppt,climate,FALSE
NPP.NS.median,NPP (median),mol C.m^-2,Ecological component,FALSE
NPP.NS.sd,NPP (sd),NPP.NS.sd,Ecological component,FALSE
TimingMaxChla,Timing max Chla,day,Ecological component,FALSE
TimingMaxChlaSd,Timing max Chla(Sd),day,Ecological component,FALSE
ZooB,Zoo. biomass,dry weight g.m^-2,Ecological component,TRUE
ZooB.LB,Zoo. biomass (Lof. basin),dry weight g.m^-2,Ecological component,TRUE
ZooB.NB,Zoo. biomass (Norw. basin),dry weight g.m^-2,Ecological component,TRUE
ZooB.48W,Zoo. biomass (4-8W).,dry weight g.m^-2,Ecological component,TRUE
ZooNEIceland,Zoo. biomass (NE Iceland),dry weight g.m^-2,Ecological component,TRUE
HerringR.age2,Herring recruitment,million indiv,Ecological component,TRUE
BluewhitingR.age1,Blue whiting recruitment,million indiv,Ecological component,TRUE
MackerelR.age0,Mackerel recruitment,million indiv,Ecological component,TRUE
MackerelJuvenileIndex,Mackerel juvenile index,unitless,Ecological component,TRUE
HerringB,Herring biomass,million tonnes,Ecological component,TRUE
BluewhitingB,Blue whiting biomass,million tonnes,Ecological component,TRUE
MackerelB,Mackerel biomass,million tonnes,Ecological component,TRUE
HerringBSurvey,Herring biomass (Norw. Sea Survey),million tonnes,Ecological component,TRUE
HerringC,Herring catches,million tonnes,Pressure,TRUE
MackerelC,Mackerel catches,million tonnes,Pressure,TRUE
BluewhitingC,Blue whiting catches,million tonnes,Pressure,TRUE
HerringF,Herring fishing mortality,y^-1,Pressure,TRUE
MackerelF,Mackerel fishing mortality,y^-1,Pressure,TRUE
BluewhitingF,Blue whiting fishing mortality,y^-1,Pressure,TRUE
HerringW6,Herring weight at age 6,kg,Ecological component,FALSE
BluewhitingW6,Bluewhiting weight at age 6,kg,Ecological component,FALSE
MackerelW6,Mackerel weight at age 6,kg,Ecological component,FALSE
BluewhitingL6,Blue whiting length at age 6,cm,Ecological component,FALSE
MackerelL6,Mackerel length at age 6,cm,Ecological component,FALSE
HerringLG,Herring length at age 6,cm,Ecological component,FALSE
SalmonNNEAC,Salmon abundance(northern NEAC),indiv.,Ecological component,TRUE
BredfishB,Beaked redfish biomass,million tonnes,Ecological component,TRUE
SaitheB,Saithe biomass,million tonnes,Ecological component,TRUE
GhalibutB,Greenland halibut biomass,million tonnes,Ecological component,TRUE
PuffinStock,Puffins stock size,pair count,Ecological component,TRUE
KittywakeStock,Kittywake stock size,pair count,Ecological component,TRUE
GuillemotStock,Guillemot stock size,pair count,Ecological component,TRUE
MinkeCatch,Minke whale Catches,count,Pressure,TRUE
NetOil,Oil production,Sm^3,Sector,FALSE
NetGas,Gas production,Sm^3,Sector,FALSE
FirstHandPrice_Herring,Herring first-hand price,NOK,Sector,FALSE
FirstHandPrice_Atlmackerel,Mackerel  first-hand price,NOK,Sector,FALSE
FirstHandPrice_BlueWhiting,Blue whiting first-hand price,NOK,Sector,FALSE
FirstHandPrice_AtlanticCod,Atlantic cod first-hand price,NOK,Sector,FALSE
FirstHandPrice_Haddock,Haddock first-hand price,NOK,Sector,FALSE
FirstHandPrice_Saithe,Saithe first-hand price,NOK,Sector,FALSE
FirstHandPrice_AtlReadfish,Beaked readfish first-hand price,NOK,Sector,FALSE
CatchValue_Herring,Herring catch value,1000 NOK,Sector,FALSE
CatchValue_Atlmackerel,Mackerel  catch value,1000 NOK,Sector,FALSE
CatchValue_Bluewhiting,Blue whiting catch value,1000 NOK,Sector,FALSE
CatchValue_Atlanticcod,Atlantic cod catch value,1000 NOK,Sector,FALSE
CatchValue_Haddock,Haddock catch value,1000 NOK,Sector,FALSE
CatchValue_Saithe,Saithe catch value,1000 NOK,Sector,FALSE
CatchValue_AtlReadfish,Beaked readfish catch value,1000 NOK,Sector,FALSE
ShippingCO2,Shipping,tonnes,Sector,TRUE
LicenseSalmonTrout,Aquaculture license (salmon & trout),count,Sector,TRUE
LicenseOtherFish,Aquaculture license (other fish),count,Sector,TRUE
LicenseMollCrustEchino,Aquaculture license (moll. crust. echino.),count,Sector,TRUE
LicenseAlgae,Aquaculture license (algae),count,Sector,TRUE
LicenseSeaRanching,Aquaculture license (sea ranching),count,Sector,TRUE
PhosphoreAquaculture,Phosphorus (aquaculture),tonnes,Pressure,TRUE
PhosphoreAgriculture,Phosphorus (agriculture),tonnes,Pressure,FALSE
PhosphoreWasteWater,Phosphorus (waste-water),tonnes,Pressure,FALSE
PhosphoreIndustry,Phosphorus (industry),tonnes,Pressure,TRUE
NbFishingBoats,Number of fishing boats,count,Sector,TRUE
PowerFishingBoats,Engine power,horse power,Sector,FALSE
